Artist ,Album,Year,Genre,Status
Abba,Abba,1975,Disco/Pop,Owned DM
Against Me,As the Eternal Cowboy,2003,Punk,Owned DM
Al Green,I'm Still In Love With You,1972,Funk/Soul,Owned DM
Alex G,House of Sugar,2019,Folk/Indie,Owned DM
Alex G,Rocket,2017,Indie/Folk,Owned DM
Alex G,Headlights,2025,Indie/Rock,Owned DM
Algernon Cadwallader,Parrot Flies,2011,Emo,Owned AB
American Football,American Football,1999,Emo/Indie,Owned DM
Angelo Badalamenti,Blue Velvet OST,1986,Jazz/Funk,Owned DM
Angelo Badalamenti,Twin Peaks OST,1990,Electronic/Jazz,Owned AB
Balance and Composure,Only Boundaries,2012,Emo/Punk,Owned DM
Balance and Composure / Tigers Jaw,Split,2010,Emo/Indie,Owned DM
Beach House,Depression Cherry,2015,Indie/Pop,Owned DM
Beach House,Teen Dream,2010,Indie/Pop,Owned AB
Best Coast ,"S/T 7""",2009,Lo-fi/Rock/Pop,Owned AB
Best Coast ,Crazy For You,2010,Surf/Garage Rock/Indie ,Want
Blaze Foley,Sittin By the Road,2010,Folk/Country,Want
Blue Rodeo,1000 Arms,2016,Country/Folk Rock,Owned DM
Blue Rodeo,Five Days in July,1993,Country/Rock,Owned DM
Bob Dylan,John Wesley Harding,1968,Folk/Rock,Owned DM
Bob Dylan & The Band,Before the Flood,1974,Rock/Folk,Owned DM
Bon Iver,"For Emma, Forever Ago",2007,Folk/Indie,Owned DM
Broadcast,Tender Buttons,2005,Synth Pop/Indie,Owned AB
C418,Minecraft Beta OST,2013,Synth,Owned DM
Cameron Winter,Heavy Metal,2024,Indie,Owned DM
Cap'n Jazz,Analphabetapolothology,1998,Emo/Rock,Owned AB
Cat Stevens,Teaser and the Firecat,1971,Folk/Rock,Owned DM
Ceremony,Zoo,2012,Punk,Owned AB
Charles Mingus,Mingus Ah Um,1959,Jazz,Owned DM
Citizen,Young States,2011,Punk/Emo,Owned DM
Citizen / Turnover,Split,2012,Punk/Emo,Owned DM
City and Color,Little Hell,2011,Indie/Acoustic,Owned DM
Cocteau Twins,Heaven or Las Vegas,1990,Synth Pop,Owned AB
Creedance Clearwater Revival,Chronicle,1976,Folk/Rock,Owned DM
Dashboard Congessional,The Shade of Poison Trees,2007,Acoustic,Owned DM
Deftones,Around the Fur,1997,Post Hardcore,Owned AB
Descendents,Milo Gets Bootlegged,2005,Punk,Owned DM
Descendents,Milo Goes to College,1982,Punk/Hardcore,Owned DM
Descendents,Everything Sucks,1996,Hardcore/Punk,Owned AB
Disneyland,"Chilling, Thrilling Sounds Of The Haunted House",1979,Scary/Ambient,Owned DM
Dowsing,I Don't Even Care Anymore,2013,Emo/Pop Punk,Owned DM
Drake,Take Care,2011,Rap/R&B,Owned DM
Drake & Future,What a Time To Be Alive,2015,Rap,Owned DM
Duster,Stratosphere,1998,Indie/Rock,Owned AB
Echo & The Bunnymen,Songs to Learn & Sing,1985,Indie/Rock,Owned AB
Explosions in the Sky,The Earth is Not a Cold Dead Place,2003 ,Post Rock/Instrumental,Owned DM
Fireworks,Gospel,2011,Pop Punk,Owned DM
Frightened Rabbit,Painting of a Panic Attack,2016,Indie/Rock,Owned DM
Fugazi,Fugazi,1988,Hardcore/Punk,Owned AB
Geese,Getting Killed,2025,Indie/Rock,Owned DM
Glitterer,Rationale,2024,Punk/Indie,Owned AB
Godspeed You Black Emperor!,Lift your Skinny Fists Like Antennas to Heaven ,2000,Post Rock,Owned AB
Gordon Lightfoot,Cold on the Shoulder,1975,Folk/Country,Owned DM
Grimes,Visions,2012,Electronic/Pop,Owned AB
Handguns,Don't Bite Your Tongue,2011,Pop Punk,Owned DM
Have Heart,10.17.09,2010,Hardcore/Punk,Owned AB
Horse Jumper of Love,Horse Jumper of Love,2016,Indie/Rock,Owned AB
Interpol,Turn On The Bright Lights,2002,Indie/Rock,Owned DM
J Cole,2014 Forest Hills Drive,2014,Rap,Owned DM
J Dilla,Donuts,2006,Electronic,Owned DM
Jimmy Buffett,You Had to Be There,1978,Boat Rock,Owned DM
John Denver,Back Home Again,1974,Country/Folk,Owned DM
Johnny Cash,At Folsom Prison,1968,Country/Folk,Owned DM
Johnny Cash,Christmas,1971,Christmas,Owned DM
Joy Division,Unknown Pleasures,1979,Post-Punk/New Wave,Owned AB
Joyce Manor,Joyce Manor,2011,Punk/Emo,Owned DM
Kanye West,My Beautiful Dark Twisted Fantasy,2010,Rap,Owned DM
Kenneth Blume,Louie,2022,Electronic/Instrumental,Owned DM
Kevin Devine,Brothers Blood,2009,Folk/Indie,Owned DM
Kevin Devine,Instigator,2016,Indie/Folk,Owned DM
La Dispute,Wildlife,2011,Skramz,Owned AB
La Dispute & Koji,Never Come Undone,2011,Emo/Folk,Owned DM
Leonard Cohen,New Skin for the Old Ceremony,1974,Folk/Rock,Owned DM
Louis Armstrong,Hey Dolly,1964,Jazz ,Owned DM
M83,"Hurry Up, We're Dreaming",2011,Electronic,Owned DM
Make Do and Mend,Part and Parcel,2011,Punk,Owned DM
Make Do and Mend,End Measured Mile,2010,Punk ,Owned DM
Make Do and Mend,Everything You Ever Loved,2012,Hardcore/Punk,Owned DM
Man Overboard,Real Talk,2010,Pop Punk,Owned DM
Man Overboard,Man Overboard,2011,Pop Punk,Owned DM
Manchester Orchestra,Christmas Songs,2020,Christmas,Owned DM
Mitski,The Land is Inhospitable And So Are We,2023,Indie/Pop,Owned AB
MJ Lenderman,Manning Fireworks,2024,Alt Country/Folk,Want
Modern Baseball,You're Gonna Miss it All,2014,Emo/Pop-punk,Owned AB
Modest Mouse,Good News for People Who Love Bad News,2004,Indie,Owned DM
Modest Mouse,We Were Dead Before the Ship Even Sank,2007,Indie,Owned DM
Neil Diamond,Love at the Greek,1977,Rock,Owned DM
Neil Young,Hawks & Doves,1980,Country/Rock,Owned AB
Nina Simone,Sings the Blues,1967,Soul/Jazz,Owned DM
Nina Simone,Pastel Blues,1965,Soul/Blues,Owned DM
Olivia Newton John,"Xanadu 7"" (Japanese)",1980,Pop,Owned AB
Otis Redding,Otis Redding Sings Soul,1973,Soul,Owned DM
Ovlov,Am,2013,Indie/Rock,Owned AB
Ovlov,Tru,2018,Indie/Rock,Owned AB
Owen,Ghost Town,2011,Folk/Rock,Owned DM
Pheobe Bridgers,Punisher,2020,Folk/Indie,Owned DM
Pianos Become the Teeth,Old Pride,2009,Emo/Hardcore,Owned DM
Pile,Magic Isn't Real,2010,Rock/Post-punk,Want
Pinegrove,"Amperland, NY",2021,Indie/Folk,Owned DM
Pinegrove,Cardinal,2016,Indie/Folk,Owned DM
Pink Floyd,Atom Heart Mother,1970,Pysch Rock,Owned AB
